ingred_desc,ingred_code,simple_name,label
"Butter, salted",1001,Unsalted butter,1
"Cheese, cheddar",1009,Sharp Chedder Cheese,1
"Cream, fluid, half and half",1049,half and half,1
"Cream, sour, cultured",1056,Sour cream,1
"Milk, whole, 3.25% milkfat, with added vitamin D",1077,Whole milk,1
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1079,Whole milk,1
"Egg, whole, raw, fresh",1123,Whole brown egg,1
"Egg, yolk, raw, fresh",1125,Brown egg yolk,1
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",5062,Chicken breast,1
"Soup, chicken broth, ready-to-serve",6194,Low sodium chicken broth,1
"Garlic, raw",11215,Garlic,1
"Mushrooms, white, raw",11260,Steamed whole white mushrooms,1
"Mushrooms, canned, drained solids",11264,Steamed whole white mushrooms,1
"Onions, raw",11282,Onion,1
"Peppers, sweet, green, raw",11333,Steamed whole green bell pepper w/o seed,1
"Tomatoes, red, ripe, raw, year round average",11529,Whole Green house (large) tomato,1
"Tomatoes, red, ripe, canned, packed in tomato juice",11531,Muir's diced tomatoes,1
"Seaweed, wakame, raw",11669,Roasted seaweed,1
"Peppers, jalapeno, raw",11979,Jalapeno,1
"Beverages, coffee, brewed, prepared with tap water",14209,brewed coffee,1
"Refried beans, canned, traditional style",16103,Refried Beans,1
"Soy flour, defatted",16117,Soy flour,1
"Cocoa, dry powder, unsweetened",19165,Cocoa powder,1
"Sugars, granulated",19335,Table sugar,1
"Barley, pearled, raw",20005,Whole grain pearl barley,1
Cornstarch,20027,Corn Starch,1
"Rice, white, long-grain, regular, raw, enriched",20044,Enriched long white rice (Mahatma),1
"Wheat flour, white, all-purpose, enriched, bleached",20081,All purpose flour,1
"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, choice, raw",23625,Beef round tip steak,1
"Celery, raw",11143,Steamed Celery stalk,1
"Coriander (cilantro) leaves, raw",11165,Cilantro,1
"Cucumber, with peel, raw",11205,Whole English cucumber,1
"Tomato products, canned, paste, without salt added",11546,Hunt's Tomato paste,1
"Beverages, carbonated, cola, regular",14148,Coca cola,1
"Rice, white, long-grain, regular, enriched, cooked",20045,Enriched long white rice (Mahatma),1
"Wheat bran, crude",20077,Wheat bran cereal,1
"Beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled",23563,Beef round tip steak,1
"Beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",23568,Beef round tip steak,1
"Beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled",23573,Beef round tip steak,1
"Beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled",23578,Beef round tip steak,1
"Egg, white, raw, fresh",1124,Brown egg white,1
"Cheese product, pasteurized process, American, vitamin D fortified",1252,American Cheese,1
"Turkey, Ground, cooked",5306,ground turkey,1
"Cabbage, raw",11109,Purple cabbage,1
"Tomato products, canned, sauce",11549,Hunt's Tomato sauce,1
"Beef, top sirloin, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",13451,Beef round tip steak,1
"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",13454,Beef round tip steak,1
"Beef, round, top round steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",13491,Beef round tip steak,1
"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",13959,Beef round tip steak,1
"Beverages, carbonated, SPRITE, lemon-lime, without caffeine",14145,Sprite,1
"Beverages, coffee, instant, decaffeinated, powder",14218,brewed coffee,1
"Beans, black, mature seeds, cooked, boiled, without salt",16015,Canned black beans (S&W),1
"Beans, pinto, mature seeds, cooked, boiled, without salt",16043,Canned low sodium pinto bean,1
"Sugars, brown",19334,Table sugar,1
"Candies, chocolate, dark, NFS (45-59% cacao solids 90%; 60-69% cacao solids 5%; 70-85% cacao solids 5%)",19905,Chocolate,1
"Beef, short loin, top loin, steak, separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled",23606,Beef round tip steak,1
"Cheese spread, pasteurized process, American",1048,American Cheese,1
"Lettuce, iceberg (includes crisphead types), raw",11252,Steamed Iceberg lettuce,1
"Chicken, broiler, rotisserie, BBQ, breast, meat only",5000,Chicken breast,1
"Orange juice, chilled, includes from concentrate",9209,Pulp free orange juice,1
"Mung beans, mature seeds, sprouted, raw",11043,Bean Sprouts,1
"Onions, young green, tops only",11292,Green onion,1
"Nuts, almonds",12061,roasted almonds,1
"Nuts, walnuts, english",12155,Walnuts,1
"Beverages, carbonated, cola, without caffeine",14147,Coca cola,1
"Beverages, coffee, brewed, prepared with tap water, decaffeinated",14201,brewed coffee,1
"Beverages, tea, black, brewed, prepared with tap water",14355,Black tea,1
"Cornmeal, degermed, enriched, yellow",20022,Cornmeal,1
"Cheese, mozzarella, low moisture, part-skim",1029,Low Moisture part Skim Mozarella cheese,1
"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",1215,American Cheese,1
"Cheese, pasteurized process, American, without added vitamin D",1253,American Cheese,1
"Cheese spread, American or Cheddar cheese base, reduced fat",1259,American Cheese,1
"Cheese, cheddar, reduced fat",1260,Sharp Chedder Cheese,1
"Cranberries, dried, sweetened",9079,Cranberry,1
"Orange juice, chilled, includes from concentrate, with added calcium and vitamin D",9210,Pulp free orange juice,1
"Orange juice, chilled, includes from concentrate, with added calcium",9211,Pulp free orange juice,1
"Spinach, canned, regular pack, drained solids",11461,Spinach leaves,1
"Beans, kidney, red, mature seeds, raw",16032,Canned Kidney beans,1
"Beans, kidney, red, mature seeds, canned, solids and liquids",16034,Canned Kidney beans,1
"Snacks, popcorn, air-popped",19034,Popcorn,1
"Cheese, cream, low fat",43274,cream cheese,1
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",100173,ground pork,1
"Cheese, cottage, creamed, large or small curd",1012,Cottage cheese,1
"Chicken, broilers or fryers, thigh, meat only, cooked, roasted",5098,Chicken breast,1
"Cabbage, red, raw",11112,Purple cabbage,1
"Potatoes, boiled, cooked without skin, flesh, without salt",11367,Steamed russet potato flesh only,1
"Nuts, pecans",12142,Pecan,1
"Beverages, coffee, instant, regular, powder",14214,brewed coffee,1
Honey,19296,Honey,1
